"postcode","location"
"CH1 1AA","53.190291,-2.888293"
"CH1 1AB","53.190766,-2.883618"
"CH1 1AD","53.1883,-2.893236"
"CH1 1AF","53.190455,-2.890466"
"CH1 1AG","53.187754,-2.887104"
"CH1 1DA","53.189888,-2.887597"
"CH1 1DD","53.190141,-2.886658"
"CH1 1DE","53.18948,-2.888771"
"CH1 1DF","53.188478,-2.889814"
"CH1 1DP","53.188472,-2.892206"
"CH1 1DQ","53.189118,-2.888927"
"CH1 1DW","53.188898,-2.889536"
"CH1 1EA","53.188893,-2.889746"
"CH1 1ED","53.189111,-2.8899"
"CH1 1EE","53.189695,-2.889506"
"CH1 1EF","53.189474,-2.890551"
"CH1 1EL","53.189561,-2.890912"
"CH1 1ER","53.190195,-2.889084"
"CH1 1ES","53.190597,-2.889332"
"CH1 1FF","53.197726,-2.88463"
"CH1 1HA","53.191004,-2.886676"
"CH1 1HB","53.191586,-2.883529"
"CH1 1HD","53.191332,-2.887399"
"CH1 1HE","53.19171,-2.884805"
"CH1 1HF","53.192456,-2.881348"
"CH1 1HG","53.192417,-2.882769"
"CH1 1HH","53.191151,-2.88861"
"CH1 1HJ","53.191639,-2.880987"
"CH1 1HL","53.190762,-2.887794"
"CH1 1HN","53.192446,-2.8825"
"CH1 1HP","53.190964,-2.887349"
"CH1 1HT","53.191165,-2.885497"
"CH1 1JG","53.19179,-2.882531"
"CH1 1JT","53.19063,-2.888508"
"CH1 1JZ","53.197726,-2.88463"
"CH1 1LB","53.192407,-2.884131"
"CH1 1LD","53.190718,-2.88884"
"CH1 1LE","53.190417,-2.890555"
"CH1 1LF","53.190238,-2.890507"
"CH1 1LG","53.190692,-2.890097"
"CH1 1LH","53.191172,-2.890646"
"CH1 1LN","53.191039,-2.890434"
"CH1 1LQ","53.190579,-2.890604"
"CH1 1LR","53.190922,-2.889159"
"CH1 1LT","53.190618,-2.889003"
"CH1 1NA","53.191365,-2.886609"
"CH1 1NE","53.187453,-2.887935"
"CH1 1NG","53.189424,-2.891134"
"CH1 1NJ","53.189077,-2.890647"
"CH1 1NL","53.189183,-2.892161"
"CH1 1NN","53.189297,-2.891562"
"CH1 1NP","53.19014,-2.891747"
"CH1 1NQ","53.189521,-2.891476"
"CH1 1NW","53.189434,-2.891014"
"CH1 1NZ","53.188607,-2.89234"
"CH1 1PD","53.198265,-2.897874"
"CH1 1PP","53.189176,-2.890948"
"CH1 1PW","53.188755,-2.892931"
"CH1 1QE","53.19023,-2.885508"
"CH1 1QG","53.190219,-2.883382"
"CH1 1QJ","53.191071,-2.882412"
"CH1 1QL","53.191428,-2.882823"
"CH1 1QN","53.190517,-2.884496"
"CH1 1QP","53.190511,-2.884062"
"CH1 1QQ","53.19148,-2.881822"
"CH1 1QS","53.186807,-2.888864"
"CH1 1QU","53.18977,-2.885723"
"CH1 1QX","53.189726,-2.885776"
"CH1 1QY","53.190541,-2.884841"
"CH1 1QZ","53.190436,-2.885617"
"CH1 1RA","53.186072,-2.889837"
"CH1 1RD","53.187789,-2.890995"
"CH1 1RE","53.189652,-2.887307"
"CH1 1RF","53.1898,-2.886591"
"CH1 1RG","53.188245,-2.888984"
"CH1 1RH","53.187688,-2.888883"
"CH1 1RJ","53.187466,-2.889731"
"CH1 1RL","53.18697,-2.888748"
"CH1 1RN","53.188413,-2.888134"
"CH1 1RP","53.187278,-2.888395"
"CH1 1RQ","53.187916,-2.888722"
"CH1 1RR","53.18729,-2.889159"
"CH1 1RS","53.187783,-2.890338"
"CH1 1RT","53.186339,-2.890231"
"CH1 1RU","53.186735,-2.890028"
"CH1 1RW","53.187846,-2.888182"
"CH1 1RX","53.18685,-2.890437"
"CH1 1RY","53.188091,-2.890387"
"CH1 1RZ","53.186941,-2.890259"
"CH1 1SA","53.186536,-2.889143"
"CH1 1SB","53.186849,-2.888354"
"CH1 1SD","53.188525,-2.883723"
"CH1 1SE","53.190687,-2.89318"
"CH1 1SG","53.185782,-2.891297"
"CH1 1SH","53.187875,-2.886821"
"CH1 1SL","53.185782,-2.891101"
"CH1 1SN","53.188592,-2.887016"
"CH1 1SQ","53.185782,-2.891297"
"CH1 1SW","53.185782,-2.891297"
"CH1 1SZ","53.188646,-2.891926"
"CH1 1TB","53.185782,-2.891297"
"CH1 1XG","53.188613,-2.891416"
"CH1 1XP","53.190793,-2.888363"
"CH1 1XS","53.18902,-2.893535"
"CH1 1YQ","53.19151,-2.886268"
"CH1 2AB","53.189369,-2.893811"
"CH1 2AD","53.193253,-2.89485"
"CH1 2AE","53.193313,-2.895255"
"CH1 2AF","53.193256,-2.895569"
"CH1 2AH","53.193041,-2.894367"
"CH1 2AJ","53.192806,-2.895664"
"CH1 2AN","53.185888,-2.891826"
"CH1 2AR","53.192394,-2.893245"
"CH1 2AS","53.192302,-2.895625"
"CH1 2AU","53.18882,-2.894982"
"CH1 2AW","53.193436,-2.89433"
"CH1 2AX","53.189522,-2.893531"
"CH1 2AY","53.192612,-2.895241"
"CH1 2BA","53.190146,-2.894381"
"CH1 2BD","53.190343,-2.894535"
"CH1 2BE","53.19054,-2.893521"
"CH1 2BF","53.192976,-2.895847"
"CH1 2BG","53.190401,-2.89277"
"CH1 2BH","53.19096,-2.892572"
"CH1 2BJ","53.189503,-2.892587"
"CH1 2BN","53.188147,-2.892514"
"CH1 2BQ","53.188844,-2.894145"
"CH1 2BX","53.189563,-2.892962"
"CH1 2BY","53.191256,-2.892791"
"CH1 2DD","53.187755,-2.891922"
"CH1 2DE","53.187632,-2.891545"
"CH1 2DF","53.187388,-2.891795"
"CH1 2DH","53.187748,-2.891907"
"CH1 2DJ","53.186405,-2.894438"
"CH1 2DL","53.189125,-2.892461"
"CH1 2DN","53.186549,-2.892"
"CH1 2DP","53.188086,-2.893217"
"CH1 2DQ","53.186901,-2.890752"
"CH1 2DS","53.187122,-2.891295"
"CH1 2DW","53.186666,-2.890972"
"CH1 2DY","53.191229,-2.890243"
"CH1 2EF","53.192307,-2.892765"
"CH1 2ES","53.191401,-2.891219"
"CH1 2ET","53.190961,-2.890942"
"CH1 2EU","53.191167,-2.891004"
"CH1 2HA","53.191085,-2.891392"
"CH1 2HG","53.190444,-2.891828"
"CH1 2HH","53.19131,-2.893974"
"CH1 2HJ","53.191749,-2.892738"
"CH1 2HQ","53.192834,-2.892986"
"CH1 2HT","53.192866,-2.892552"
"CH1 2HU","53.19251,-2.89214"
"CH1 2HX","53.192791,-2.892925"
"CH1 2JA","53.193272,-2.893488"
"CH1 2JB","53.193665,-2.892852"
"CH1 2JD","53.192857,-2.89125"
"CH1 2JF","53.19271,-2.890453"
"CH1 2JG","53.193797,-2.892812"
"CH1 2JH","53.193541,-2.892371"
"CH1 2JT","53.189977,-2.894153"
"CH1 2JW","53.193663,-2.892613"
"CH1 2LA","53.190071,-2.893376"
"CH1 2LB","53.189804,-2.893538"
"CH1 2LD","53.190257,-2.892632"
"CH1 2LE","53.190138,-2.892046"
"CH1 2LF","53.189674,-2.896197"
"CH1 2LH","53.186511,-2.894964"
"CH1 2LJ","53.189202,-2.896861"
"CH1 2LN","53.189694,-2.895869"
"CH1 2LP","53.189876,-2.895618"
"CH1 2LQ","53.189782,-2.896857"
"CH1 2LR","53.189627,-2.896526"
"CH1 2LS","53.19046,-2.896842"
"CH1 2LU","53.190366,-2.89714"
"CH1 2LY","53.189091,-2.897293"
"CH1 2LZ","53.188752,-2.896822"
"CH1 2NA","53.192588,-2.895944"
"CH1 2NE","53.192683,-2.89653"
"CH1 2NF","53.192172,-2.896279"
"CH1 2NH","53.192289,-2.897539"
"CH1 2NN","53.191132,-2.89739"
"CH1 2NP","53.186803,-2.894717"
"CH1 2NR","53.191434,-2.896012"
"CH1 2NS","53.188422,-2.895618"
"CH1 2NU","53.187926,-2.895607"
"CH1 2NW","53.188298,-2.896296"
"CH1 2NX","53.188963,-2.89509"
"CH1 2NY","53.1914,-2.897535"
"CH1 2NZ","53.188833,-2.894414"
"CH1 2PQ","53.188711,-2.894965"
"CH1 2PY","53.18762,-2.895706"
"CH1 2QS","53.188985,-2.895794"
"CH1 2SA","53.190547,-2.891247"
"CH1 2XA","53.187636,-2.893506"
"CH1 3AA","53.197726,-2.88463"
"CH1 3AB","53.193881,-2.881826"
"CH1 3AE","53.194323,-2.881521"
"CH1 3AF","53.19572,-2.88107"
"CH1 3AG","53.192695,-2.882924"
"CH1 3AH","53.195988,-2.880299"
"CH1 3AJ","53.193026,-2.883051"
"CH1 3AL","53.194773,-2.881395"
"CH1 3AN","53.19334,-2.883207"
"CH1 3AP","53.193373,-2.882533"
"CH1 3AQ","53.195161,-2.881284"
"CH1 3AR","53.193219,-2.882501"
"CH1 3AS","53.192826,-2.882179"
"CH1 3AT","53.192714,-2.881338"
